Date,Category,Location,Quantity,UnitPrice,SalesAmount
2024-08-05,Appetizers,Downtown Branch,4,8,32
2024-08-09,Sides,Downtown Branch,4,8,32
2024-08-21,Appetizers,Uptown Bistro,4,8,32
2024-08-24,Desserts,Downtown Branch,4,8,32
2024-09-09,Sides,Downtown Branch,4,8,32
2024-09-10,Desserts,Downtown Branch,4,8,32
2024-09-17,Sides,Beachside Cafe,4,8,32
2024-09-24,Appetizers,Beachside Cafe,4,8,32
2024-09-25,Desserts,Uptown Bistro,4,8,32
2024-10-10,Beverages,Beachside Cafe,4,8,32
2024-10-10,Sides,Beachside Cafe,4,8,32
2024-10-10,Desserts,Beachside Cafe,4,8,32
2024-11-02,Beverages,Uptown Bistro,4,8,32
2024-11-10,Beverages,Uptown Bistro,4,8,32
2024-11-16,Desserts,Beachside Cafe,4,8,32
2024-12-01,Appetizers,Beachside Cafe,4,8,32
2024-12-09,Beverages,Uptown Bistro,4,8,32
2024-12-19,Desserts,Downtown Branch,4,8,32
2024-12-23,Sides,Uptown Bistro,4,8,32
2024-12-23,Sides,Suburban Diner,4,8,32
2024-12-25,Desserts,Uptown Bistro,4,8,32
2024-12-27,Sides,Downtown Branch,4,8,32
2023-01-18,Appetizers,Suburban Diner,6,8,48
2023-01-18,Sides,Suburban Diner,6,8,48
2023-01-23,Sides,Downtown Branch,6,8,48
2023-01-24,Desserts,Uptown Bistro,6,8,48
2023-01-25,Desserts,Uptown Bistro,6,8,48
2023-01-27,Beverages,Beachside Cafe,6,8,48
2023-01-30,Appetizers,Uptown Bistro,6,8,48
2023-02-05,Sides,Downtown Branch,6,8,48
2023-02-13,Appetizers,Downtown Branch,6,8,48
2023-02-22,Beverages,Beachside Cafe,6,8,48
2023-02-23,Sides,Uptown Bistro,6,8,48
2023-02-28,Beverages,Suburban Diner,6,8,48
2023-03-02,Desserts,Downtown Branch,6,8,48
2023-03-14,Beverages,Suburban Diner,6,8,48
2023-03-16,Sides,Downtown Branch,6,8,48
2023-03-31,Sides,Uptown Bistro,6,8,48
2023-04-09,Desserts,Uptown Bistro,6,8,48
2023-04-21,Beverages,Beachside Cafe,6,8,48
2023-05-01,Sides,Downtown Branch,6,8,48
2023-05-26,Sides,Suburban Diner,6,8,48
2023-06-02,Desserts,Suburban Diner,6,8,48
2023-06-02,Desserts,Beachside Cafe,6,8,48
2023-06-06,Desserts,Suburban Diner,6,8,48
2023-06-09,Appetizers,Beachside Cafe,6,8,48
2023-06-14,Beverages,Downtown Branch,6,8,48
2023-06-16,Beverages,Suburban Diner,6,8,48
2023-06-25,Desserts,Uptown Bistro,6,8,48
2023-07-01,Appetizers,Downtown Branch,6,8,48
2023-07-04,Desserts,Downtown Branch,6,8,48
2023-07-06,Beverages,Suburban Diner,6,8,48
2023-07-08,Desserts,Suburban Diner,6,8,48
2023-07-20,Beverages,Downtown Branch,6,8,48
2023-07-26,Sides,Uptown Bistro,6,8,48
2023-08-27,Beverages,Uptown Bistro,6,8,48
2023-08-30,Desserts,Beachside Cafe,6,8,48
2023-09-02,Desserts,Downtown Branch,6,8,48
2023-09-07,Appetizers,Suburban Diner,6,8,48
2023-09-19,Sides,Uptown Bistro,6,8,48
2023-09-23,Appetizers,Downtown Branch,6,8,48
2023-09-23,Beverages,Suburban Diner,6,8,48
2023-09-26,Sides,Suburban Diner,6,8,48
2023-10-17,Sides,Beachside Cafe,6,8,48
2023-10-30,Desserts,Downtown Branch,6,8,48
2023-11-02,Beverages,Downtown Branch,6,8,48
2023-11-09,Beverages,Suburban Diner,6,8,48
2023-11-20,Appetizers,Suburban Diner,6,8,48
2023-11-23,Sides,Beachside Cafe,6,8,48
2023-12-05,Appetizers,Suburban Diner,6,8,48
2023-12-12,Desserts,Uptown Bistro,6,8,48
2023-12-24,Beverages,Uptown Bistro,6,8,48
2024-01-04,Desserts,Uptown Bistro,6,8,48
2024-01-05,Beverages,Beachside Cafe,6,8,48
2024-01-10,Sides,Downtown Branch,6,8,48
2024-01-12,Desserts,Uptown Bistro,6,8,48
2024-01-18,Appetizers,Beachside Cafe,6,8,48
2024-01-22,Appetizers,Beachside Cafe,6,8,48
2024-01-31,Desserts,Beachside Cafe,6,8,48
2024-02-16,Appetizers,Beachside Cafe,6,8,48
2024-02-17,Appetizers,Beachside Cafe,6,8,48
2024-02-19,Sides,Uptown Bistro,6,8,48
2024-03-02,Sides,Downtown Branch,6,8,48
2024-03-09,Sides,Beachside Cafe,6,8,48
2024-03-15,Sides,Suburban Diner,6,8,48
2024-03-19,Sides,Uptown Bistro,6,8,48
2024-03-27,Beverages,Uptown Bistro,6,8,48
2024-04-01,Beverages,Downtown Branch,6,8,48
2024-04-06,Sides,Beachside Cafe,6,8,48
2024-04-23,Beverages,Suburban Diner,6,8,48
2024-04-24,Desserts,Uptown Bistro,6,8,48
2024-05-02,Sides,Suburban Diner,6,8,48
2024-05-08,Appetizers,Beachside Cafe,6,8,48
2024-05-12,Desserts,Uptown Bistro,6,8,48
2024-05-28,Sides,Suburban Diner,6,8,48
2024-06-03,Desserts,Uptown Bistro,6,8,48
2024-06-20,Sides,Uptown Bistro,6,8,48
2024-06-27,Desserts,Uptown Bistro,6,8,48
2024-07-15,Appetizers,Downtown Branch,6,8,48
2024-07-20,Sides,Uptown Bistro,6,8,48
2024-08-11,Desserts,Downtown Branch,6,8,48
2024-08-15,Sides,Beachside Cafe,6,8,48
2024-08-25,Desserts,Suburban Diner,6,8,48
2024-08-26,Sides,Downtown Branch,6,8,48
2024-09-17,Appetizers,Beachside Cafe,6,8,48
2024-09-20,Desserts,Uptown Bistro,6,8,48
2024-10-02,Beverages,Downtown Branch,6,8,48
2024-10-17,Desserts,Suburban Diner,6,8,48
2024-10-17,Appetizers,Suburban Diner,6,8,48
2024-10-29,Beverages,Beachside Cafe,6,8,48
2024-12-10,Sides,Beachside Cafe,6,8,48
2024-12-16,Sides,Downtown Branch,6,8,48
2024-12-19,Beverages,Suburban Diner,6,8,48
2024-12-23,Appetizers,Downtown Branch,6,8,48
2024-12-25,Beverages,Uptown Bistro,6,8,48
2023-01-05,Appetizers,Downtown Branch,3,8,24
2023-01-16,Desserts,Downtown Branch,3,8,24
2023-02-03,Beverages,Uptown Bistro,3,8,24
2023-02-11,Sides,Suburban Diner,3,8,24
2023-02-26,Desserts,Downtown Branch,3,8,24
2023-03-11,Appetizers,Beachside Cafe,3,8,24
2023-03-12,Appetizers,Downtown Branch,3,8,24
2023-04-21,Desserts,Beachside Cafe,3,8,24
2023-04-22,Desserts,Suburban Diner,3,8,24
2023-05-12,Sides,Beachside Cafe,3,8,24
2023-05-16,Sides,Beachside Cafe,3,8,24
2023-05-19,Beverages,Uptown Bistro,3,8,24
2023-05-24,Appetizers,Downtown Branch,3,8,24
2023-05-26,Sides,Suburban Diner,3,8,24
2023-06-08,Desserts,Downtown Branch,3,8,24
2023-06-11,Sides,Suburban Diner,3,8,24
2023-06-15,Beverages,Downtown Branch,3,8,24
2023-06-30,Beverages,Suburban Diner,3,8,24
2023-07-02,Desserts,Uptown Bistro,3,8,24
2023-07-06,Desserts,Beachside Cafe,3,8,24
2023-07-17,Appetizers,Suburban Diner,3,8,24
2023-07-30,Beverages,Downtown Branch,3,8,24
2023-08-02,Sides,Beachside Cafe,3,8,24
2023-08-11,Beverages,Downtown Branch,3,8,24
2023-08-15,Sides,Uptown Bistro,3,8,24
2023-08-29,Beverages,Uptown Bistro,3,8,24
2023-09-10,Sides,Beachside Cafe,3,8,24
2023-09-19,Sides,Suburban Diner,3,8,24
2023-09-26,Desserts,Uptown Bistro,3,8,24
2023-09-27,Appetizers,Uptown Bistro,3,8,24
2023-10-03,Appetizers,Beachside Cafe,3,8,24
2023-10-08,Beverages,Uptown Bistro,3,8,24
2023-10-26,Desserts,Uptown Bistro,3,8,24
2023-11-03,Sides,Downtown Branch,3,8,24
2023-11-19,Appetizers,Downtown Branch,3,8,24
2023-12-01,Beverages,Uptown Bistro,3,8,24
2023-12-06,Appetizers,Downtown Branch,3,8,24
2023-12-07,Desserts,Suburban Diner,3,8,24
2023-12-09,Sides,Uptown Bistro,3,8,24
2023-12-28,Desserts,Downtown Branch,3,8,24
2023-12-31,Beverages,Uptown Bistro,3,8,24
2024-01-10,Sides,Beachside Cafe,3,8,24
2024-01-19,Appetizers,Uptown Bistro,3,8,24
2024-02-01,Beverages,Downtown Branch,3,8,24
2024-02-13,Desserts,Beachside Cafe,3,8,24
2024-02-19,Sides,Downtown Branch,3,8,24
2024-02-21,Beverages,Downtown Branch,3,8,24
2024-03-06,Appetizers,Beachside Cafe,3,8,24
2024-03-07,Sides,Beachside Cafe,3,8,24
2024-03-21,Sides,Suburban Diner,3,8,24
2024-03-25,Appetizers,Beachside Cafe,3,8,24
2024-04-04,Sides,Beachside Cafe,3,8,24
2024-04-08,Desserts,Beachside Cafe,3,8,24
2024-04-13,Sides,Suburban Diner,3,8,24
2024-04-15,Beverages,Uptown Bistro,3,8,24
2024-05-04,Sides,Beachside Cafe,3,8,24
2024-05-05,Appetizers,Downtown Branch,3,8,24
2024-05-05,Appetizers,Downtown Branch,3,8,24
2024-05-09,Desserts,Suburban Diner,3,8,24
2024-05-12,Appetizers,Suburban Diner,3,8,24
2024-05-28,Appetizers,Beachside Cafe,3,8,24
2024-06-09,Beverages,Downtown Branch,3,8,24
2024-06-20,Appetizers,Downtown Branch,3,8,24
2024-06-25,Beverages,Beachside Cafe,3,8,24
2024-06-26,Beverages,Suburban Diner,3,8,24
2024-07-09,Sides,Uptown Bistro,3,8,24
2024-07-12,Beverages,Downtown Branch,3,8,24
2024-07-14,Beverages,Downtown Branch,3,8,24
2024-07-15,Appetizers,Uptown Bistro,3,8,24
2024-07-21,Sides,Beachside Cafe,3,8,24
2024-07-26,Appetizers,Beachside Cafe,3,8,24
2024-07-26,Sides,Uptown Bistro,3,8,24
2024-07-26,Appetizers,Suburban Diner,3,8,24
2024-08-18,Desserts,Downtown Branch,3,8,24
2024-08-30,Sides,Beachside Cafe,3,8,24
2024-08-31,Desserts,Uptown Bistro,3,8,24
2024-09-09,Beverages,Uptown Bistro,3,8,24
2024-09-23,Sides,Downtown Branch,3,8,24
2024-10-10,Appetizers,Suburban Diner,3,8,24
2024-10-20,Sides,Downtown Branch,3,8,24
2024-11-17,Appetizers,Downtown Branch,3,8,24
2024-11-18,Appetizers,Suburban Diner,3,8,24
2024-11-21,Appetizers,Beachside Cafe,3,8,24
2024-12-14,Beverages,Uptown Bistro,3,8,24
2024-12-22,Appetizers,Beachside Cafe,3,8,24
2024-12-23,Desserts,Suburban Diner,3,8,24
2024-12-29,Sides,Suburban Diner,3,8,24
2023-01-07,Desserts,Uptown Bistro,1,8,8
2023-01-11,Appetizers,Suburban Diner,1,8,8
2023-01-24,Sides,Downtown Branch,1,8,8
2023-02-03,Desserts,Downtown Branch,1,8,8
2023-02-11,Appetizers,Uptown Bistro,1,8,8
2023-02-14,Sides,Downtown Branch,1,8,8
2023-03-29,Appetizers,Uptown Bistro,1,8,8
2023-04-02,Appetizers,Uptown Bistro,1,8,8
2023-04-08,Beverages,Downtown Branch,1,8,8
2023-04-11,Sides,Beachside Cafe,1,8,8
2023-04-11,Beverages,Suburban Diner,1,8,8
2023-04-11,Desserts,Beachside Cafe,1,8,8
2023-04-20,Sides,Uptown Bistro,1,8,8
2023-05-03,Desserts,Uptown Bistro,1,8,8
2023-05-07,Beverages,Uptown Bistro,1,8,8
2023-05-20,Desserts,Suburban Diner,1,8,8
2023-05-29,Desserts,Suburban Diner,1,8,8
2023-06-14,Appetizers,Uptown Bistro,1,8,8
2023-07-05,Appetizers,Beachside Cafe,1,8,8
2023-07-10,Desserts,Suburban Diner,1,8,8
2023-07-15,Desserts,Downtown Branch,1,8,8
2023-07-18,Sides,Uptown Bistro,1,8,8
2023-08-28,Desserts,Suburban Diner,1,8,8
2023-08-29,Sides,Suburban Diner,1,8,8
2023-09-06,Desserts,Downtown Branch,1,8,8
2023-09-06,Appetizers,Beachside Cafe,1,8,8
2023-10-02,Desserts,Uptown Bistro,1,8,8
2023-10-06,Sides,Downtown Branch,1,8,8
2023-10-29,Desserts,Suburban Diner,1,8,8
2023-10-30,Appetizers,Suburban Diner,1,8,8
2023-11-07,Appetizers,Downtown Branch,1,8,8
2023-11-13,Appetizers,Downtown Branch,1,8,8
2023-11-23,Desserts,Suburban Diner,1,8,8
2023-11-27,Desserts,Suburban Diner,1,8,8
2023-12-14,Sides,Suburban Diner,1,8,8
2023-12-14,Sides,Uptown Bistro,1,8,8
2023-12-18,Beverages,Suburban Diner,1,8,8
2023-12-29,Appetizers,Suburban Diner,1,8,8
2024-01-04,Beverages,Beachside Cafe,1,8,8
2024-01-08,Desserts,Suburban Diner,1,8,8
2024-01-09,Desserts,Beachside Cafe,1,8,8
2024-01-25,Sides,Beachside Cafe,1,8,8
2024-02-04,Sides,Suburban Diner,1,8,8
2024-02-08,Sides,Suburban Diner,1,8,8
2024-02-14,Beverages,Beachside Cafe,1,8,8
2024-02-16,Beverages,Suburban Diner,1,8,8
2024-02-17,Sides,Beachside Cafe,1,8,8
2024-02-20,Desserts,Uptown Bistro,1,8,8
2024-03-01,Desserts,Suburban Diner,1,8,8
2024-03-05,Desserts,Uptown Bistro,1,8,8
2024-03-09,Sides,Suburban Diner,1,8,8
2024-03-16,Desserts,Downtown Branch,1,8,8
2024-04-02,Appetizers,Downtown Branch,1,8,8
2024-04-06,Desserts,Uptown Bistro,1,8,8
2024-04-06,Sides,Uptown Bistro,1,8,8
2024-04-12,Sides,Downtown Branch,1,8,8
2024-04-16,Appetizers,Beachside Cafe,1,8,8
2024-04-18,Sides,Beachside Cafe,1,8,8
2024-05-16,Appetizers,Downtown Branch,1,8,8
2024-06-02,Sides,Downtown Branch,1,8,8
2024-06-23,Sides,Uptown Bistro,1,8,8
2024-06-26,Appetizers,Uptown Bistro,1,8,8
2024-07-03,Beverages,Beachside Cafe,1,8,8
2024-07-07,Beverages,Suburban Diner,1,8,8
2024-07-17,Desserts,Suburban Diner,1,8,8
2024-07-19,Appetizers,Downtown Branch,1,8,8
2024-08-02,Appetizers,Beachside Cafe,1,8,8
2024-08-03,Sides,Uptown Bistro,1,8,8
2024-08-15,Appetizers,Uptown Bistro,1,8,8
2024-08-15,Appetizers,Suburban Diner,1,8,8
2024-08-27,Sides,Uptown Bistro,1,8,8
2024-09-05,Appetizers,Uptown Bistro,1,8,8
2024-09-07,Sides,Downtown Branch,1,8,8
2024-09-28,Beverages,Downtown Branch,1,8,8
2024-10-02,Beverages,Suburban Diner,1,8,8
2024-10-12,Sides,Uptown Bistro,1,8,8
2024-10-15,Sides,Uptown Bistro,1,8,8
2024-10-20,Sides,Beachside Cafe,1,8,8
2024-10-24,Desserts,Uptown Bistro,1,8,8
2024-10-29,Sides,Uptown Bistro,1,8,8
2024-11-26,Beverages,Downtown Branch,1,8,8
2024-11-30,Sides,Uptown Bistro,1,8,8
2024-12-10,Desserts,Downtown Branch,1,8,8
2024-12-13,Appetizers,Uptown Bistro,1,8,8
2024-12-15,Appetizers,Downtown Branch,1,8,8
2024-12-26,Desserts,Beachside Cafe,1,8,8
2023-01-12,Appetizers,Beachside Cafe,5,8,40
2023-01-15,Sides,Beachside Cafe,5,8,40
2023-01-19,Sides,Suburban Diner,5,8,40
2023-01-27,Desserts,Suburban Diner,5,8,40
2023-02-13,Desserts,Uptown Bistro,5,8,40
2023-02-23,Appetizers,Suburban Diner,5,8,40
2023-02-27,Sides,Uptown Bistro,5,8,40
2023-03-16,Beverages,Suburban Diner,5,8,40
2023-03-16,Beverages,Downtown Branch,5,8,40
2023-03-25,Sides,Suburban Diner,5,8,40
2023-03-28,Sides,Beachside Cafe,5,8,40
2023-04-29,Desserts,Suburban Diner,5,8,40
2023-05-18,Desserts,Suburban Diner,5,8,40
2023-05-21,Appetizers,Uptown Bistro,5,8,40
2023-05-25,Beverages,Uptown Bistro,5,8,40
2023-05-30,Desserts,Uptown Bistro,5,8,40
2023-06-02,Appetizers,Downtown Branch,5,8,40
2023-06-04,Appetizers,Downtown Branch,5,8,40
2023-06-16,Sides,Suburban Diner,5,8,40
2023-06-21,Desserts,Suburban Diner,5,8,40
2023-06-26,Sides,Uptown Bistro,5,8,40
2023-06-30,Sides,Beachside Cafe,5,8,40
2023-07-26,Sides,Beachside Cafe,5,8,40
2023-08-03,Sides,Uptown Bistro,5,8,40
2023-08-09,Desserts,Beachside Cafe,5,8,40
2023-08-18,Desserts,Uptown Bistro,5,8,40
2023-08-22,Beverages,Beachside Cafe,5,8,40
2023-08-26,Appetizers,Uptown Bistro,5,8,40
2023-09-04,Appetizers,Beachside Cafe,5,8,40
2023-09-18,Appetizers,Beachside Cafe,5,8,40
2023-09-21,Appetizers,Suburban Diner,5,8,40
2023-09-22,Appetizers,Uptown Bistro,5,8,40
2023-09-30,Beverages,Beachside Cafe,5,8,40
2023-09-30,Appetizers,Beachside Cafe,5,8,40
2023-10-07,Beverages,Beachside Cafe,5,8,40
2023-10-08,Appetizers,Downtown Branch,5,8,40
2023-10-19,Beverages,Beachside Cafe,5,8,40
2023-10-27,Sides,Beachside Cafe,5,8,40
2023-11-07,Beverages,Suburban Diner,5,8,40
2023-11-16,Appetizers,Beachside Cafe,5,8,40
2023-11-22,Desserts,Beachside Cafe,5,8,40
2023-11-25,Beverages,Beachside Cafe,5,8,40
2023-12-07,Beverages,Suburban Diner,5,8,40
2023-12-12,Appetizers,Beachside Cafe,5,8,40
2023-12-19,Appetizers,Beachside Cafe,5,8,40
2024-01-29,Beverages,Downtown Branch,5,8,40
2024-03-07,Sides,Suburban Diner,5,8,40
2024-03-21,Appetizers,Suburban Diner,5,8,40
2024-03-26,Appetizers,Uptown Bistro,5,8,40
2024-04-18,Appetizers,Suburban Diner,5,8,40
2024-05-03,Appetizers,Suburban Diner,5,8,40
2024-05-07,Appetizers,Downtown Branch,5,8,40
2024-05-14,Appetizers,Uptown Bistro,5,8,40
2024-05-14,Desserts,Beachside Cafe,5,8,40
2024-06-08,Desserts,Beachside Cafe,5,8,40
2024-06-18,Desserts,Suburban Diner,5,8,40
2024-06-18,Sides,Beachside Cafe,5,8,40
2024-06-26,Appetizers,Uptown Bistro,5,8,40
2024-07-02,Appetizers,Beachside Cafe,5,8,40
2024-07-04,Sides,Suburban Diner,5,8,40
2024-07-09,Appetizers,Suburban Diner,5,8,40
2024-07-18,Beverages,Beachside Cafe,5,8,40
2024-07-23,Beverages,Beachside Cafe,5,8,40
2024-07-27,Sides,Uptown Bistro,5,8,40
2024-08-02,Beverages,Uptown Bistro,5,8,40
2024-08-12,Appetizers,Beachside Cafe,5,8,40
2024-08-20,Appetizers,Uptown Bistro,5,8,40
2024-09-05,Desserts,Suburban Diner,5,8,40
2024-09-12,Desserts,Downtown Branch,5,8,40
2024-09-20,Desserts,Beachside Cafe,5,8,40
2024-10-02,Desserts,Beachside Cafe,5,8,40
2024-10-04,Appetizers,Uptown Bistro,5,8,40
2024-10-05,Desserts,Uptown Bistro,5,8,40
2024-10-08,Desserts,Downtown Branch,5,8,40
2024-10-09,Desserts,Suburban Diner,5,8,40
2024-10-15,Sides,Beachside Cafe,5,8,40
2024-10-23,Beverages,Beachside Cafe,5,8,40
2024-11-06,Desserts,Suburban Diner,5,8,40
2024-11-24,Desserts,Downtown Branch,5,8,40
2024-11-27,Appetizers,Uptown Bistro,5,8,40
2024-12-19,Sides,Beachside Cafe,5,8,40
2024-12-20,Appetizers,Beachside Cafe,5,8,40
2024-12-26,Beverages,Uptown Bistro,5,8,40
2024-12-30,Beverages,Uptown Bistro,5,8,40
2023-01-12,Beverages,Beachside Cafe,2,8,16
2023-01-17,Desserts,Beachside Cafe,2,8,16
2023-01-18,Sides,Suburban Diner,2,8,16
2023-01-29,Beverages,Suburban Diner,2,8,16
2023-02-05,Desserts,Uptown Bistro,2,8,16
2023-02-13,Beverages,Suburban Diner,2,8,16
2023-02-16,Appetizers,Uptown Bistro,2,8,16
2023-02-17,Desserts,Downtown Branch,2,8,16
2023-02-17,Beverages,Beachside Cafe,2,8,16
2023-02-24,Sides,Suburban Diner,2,8,16
2023-02-27,Appetizers,Uptown Bistro,2,8,16
2023-02-28,Sides,Downtown Branch,2,8,16
2023-03-06,Desserts,Downtown Branch,2,8,16
2023-03-07,Appetizers,Downtown Branch,2,8,16
2023-03-25,Beverages,Beachside Cafe,2,8,16
2023-03-26,Appetizers,Beachside Cafe,2,8,16
2023-04-08,Appetizers,Uptown Bistro,2,8,16
2023-04-09,Sides,Downtown Branch,2,8,16
2023-05-08,Appetizers,Beachside Cafe,2,8,16
2023-05-11,Sides,Uptown Bistro,2,8,16
2023-05-12,Beverages,Uptown Bistro,2,8,16
2023-05-24,Desserts,Beachside Cafe,2,8,16
2023-06-03,Sides,Suburban Diner,2,8,16
2023-06-12,Desserts,Beachside Cafe,2,8,16
2023-06-16,Sides,Beachside Cafe,2,8,16
2023-06-19,Appetizers,Beachside Cafe,2,8,16
2023-06-22,Appetizers,Suburban Diner,2,8,16
2023-06-30,Beverages,Beachside Cafe,2,8,16
2023-07-02,Sides,Downtown Branch,2,8,16
2023-07-02,Desserts,Downtown Branch,2,8,16
2023-07-06,Appetizers,Downtown Branch,2,8,16
2023-07-06,Beverages,Beachside Cafe,2,8,16
2023-07-14,Sides,Uptown Bistro,2,8,16
2023-08-21,Appetizers,Uptown Bistro,2,8,16
2023-08-27,Sides,Downtown Branch,2,8,16
2023-08-31,Sides,Suburban Diner,2,8,16
2023-09-23,Appetizers,Downtown Branch,2,8,16
2023-09-25,Appetizers,Downtown Branch,2,8,16
2023-10-17,Sides,Uptown Bistro,2,8,16
2023-10-28,Beverages,Uptown Bistro,2,8,16
2023-10-30,Appetizers,Beachside Cafe,2,8,16
2023-11-02,Desserts,Downtown Branch,2,8,16
2023-11-12,Beverages,Suburban Diner,2,8,16
2023-11-28,Beverages,Uptown Bistro,2,8,16
2023-12-03,Sides,Downtown Branch,2,8,16
2023-12-17,Sides,Downtown Branch,2,8,16
2024-01-25,Desserts,Suburban Diner,2,8,16
2024-01-26,Appetizers,Uptown Bistro,2,8,16
2024-01-27,Appetizers,Uptown Bistro,2,8,16
2024-02-27,Beverages,Uptown Bistro,2,8,16
2024-03-17,Beverages,Suburban Diner,2,8,16
2024-04-03,Sides,Uptown Bistro,2,8,16
2024-04-18,Sides,Suburban Diner,2,8,16
2024-04-27,Appetizers,Suburban Diner,2,8,16
2024-05-12,Desserts,Downtown Branch,2,8,16
2024-05-17,Desserts,Uptown Bistro,2,8,16
2024-05-17,Beverages,Downtown Branch,2,8,16
2024-05-28,Desserts,Suburban Diner,2,8,16
2024-06-14,Sides,Uptown Bistro,2,8,16
2024-06-19,Beverages,Downtown Branch,2,8,16
2024-06-27,Appetizers,Beachside Cafe,2,8,16
2024-07-15,Desserts,Beachside Cafe,2,8,16
2024-08-27,Appetizers,Beachside Cafe,2,8,16
2024-09-17,Desserts,Downtown Branch,2,8,16
2024-10-04,Beverages,Downtown Branch,2,8,16
2024-10-05,Sides,Suburban Diner,2,8,16
2024-10-07,Desserts,Suburban Diner,2,8,16
2024-10-13,Appetizers,Beachside Cafe,2,8,16
2024-10-19,Desserts,Beachside Cafe,2,8,16
2024-10-30,Appetizers,Uptown Bistro,2,8,16
2024-11-05,Sides,Downtown Branch,2,8,16
2024-11-20,Sides,Suburban Diner,2,8,16
2024-12-01,Sides,Uptown Bistro,2,8,16
2024-12-24,Desserts,Beachside Cafe,2,8,16
2024-12-24,Appetizers,Suburban Diner,2,8,16
2023-01-08,Desserts,Downtown Branch,5,7,35
2023-01-22,Desserts,Downtown Branch,4,7,28
2023-01-24,Desserts,Downtown Branch,1,7,7
2023-02-02,Sides,Suburban Diner,5,7,35
2023-02-02,Beverages,Downtown Branch,1,7,7
